category,keyword,intent,priority,notes
head_lop,giải bài tập lớp 1,info,P0,landing page lop-1
head_lop,giải bài tập lớp 2,info,P0,landing page lop-2
head_lop,giải bài tập lớp 3,info,P0,landing page lop-3
head_lop,giải bài tập lớp 4,info,P0,landing page lop-4
head_lop,giải bài tập lớp 5,info,P0,landing page lop-5
head_lop,giải bài tập lớp 6,info,P0,landing page lop-6
head_lop,giải bài tập lớp 7,info,P0,landing page lop-7
head_lop,giải bài tập lớp 8,info,P0,landing page lop-8
head_lop,giải bài tập lớp 9,info,P0,landing page lop-9
head_lop,giải bài tập lớp 10,info,P0,landing page lop-10
head_lop,giải bài tập lớp 11,info,P0,landing page lop-11
head_lop,giải bài tập lớp 12,info,P0,landing page lop-12
head_mon,giải toán lớp 6,info,P0,
head_mon,giải toán lớp 7,info,P0,
head_mon,giải toán lớp 8,info,P0,
head_mon,giải toán lớp 9,info,P0,
head_mon,giải toán lớp 10,info,P0,
head_mon,giải toán lớp 11,info,P0,
head_mon,giải toán lớp 12,info,P0,
head_mon,giải văn lớp 6,info,P0,
head_mon,giải văn lớp 7,info,P0,
head_mon,giải văn lớp 8,info,P0,
head_mon,giải văn lớp 9,info,P0,
head_mon,ngữ văn lớp 10,info,P0,
head_mon,ngữ văn lớp 11,info,P0,
head_mon,ngữ văn lớp 12,info,P0,
head_mon,giải tiếng anh lớp 6,info,P1,
head_mon,giải tiếng anh lớp 9,info,P1,
head_mon,giải tiếng anh lớp 12,info,P1,
head_mon,giải vật lý lớp 9,info,P1,
head_mon,giải vật lý lớp 10,info,P1,
head_mon,giải vật lý lớp 11,info,P1,
head_mon,giải vật lý lớp 12,info,P1,
head_mon,giải hóa lớp 9,info,P1,
head_mon,giải hóa lớp 10,info,P1,
head_mon,giải hóa lớp 11,info,P1,
head_mon,giải hóa lớp 12,info,P1,
head_mon,giải sinh lớp 10,info,P2,
head_mon,giải sinh lớp 11,info,P2,
head_mon,giải sinh lớp 12,info,P2,
head_mon,giải lịch sử lớp 12,info,P2,
head_mon,giải địa lý lớp 12,info,P2,
head_mon,giải gdcd lớp 12,info,P2,
head_mon,giải tin học lớp 12,info,P2,
bo_sach,giải toán lớp 6 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 7 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 8 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 9 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 10 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 11 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 12 kết nối tri thức,info,P0,
bo_sach,giải toán lớp 6 chân trời sáng tạo,info,P1,
bo_sach,giải toán lớp 9 chân trời sáng tạo,info,P1,
bo_sach,giải toán lớp 12 chân trời sáng tạo,info,P1,
bo_sach,giải toán lớp 6 cánh diều,info,P1,
bo_sach,giải toán lớp 9 cánh diều,info,P1,
bo_sach,giải toán lớp 12 cánh diều,info,P1,
bo_sach,giải văn lớp 6 kết nối tri thức,info,P0,
bo_sach,giải văn lớp 9 kết nối tri thức,info,P0,
bo_sach,giải văn lớp 10 kết nối tri thức,info,P0,
bo_sach,giải văn lớp 12 kết nối tri thức,info,P0,
sgk_sbt,giải sgk toán 12,info,P0,
sgk_sbt,giải sgk toán 11,info,P0,
sgk_sbt,giải sgk toán 10,info,P0,
sgk_sbt,giải sbt toán 12,info,P0,
sgk_sbt,giải sbt toán 11,info,P0,
sgk_sbt,giải sbt toán 9,info,P0,
sgk_sbt,giải vbt toán lớp 6,info,P1,
sgk_sbt,giải sgk hóa 12,info,P1,
sgk_sbt,giải sgk hóa 11,info,P1,
sgk_sbt,giải sgk lý 12,info,P1,
sgk_sbt,giải sgk lý 11,info,P1,
soan_van,soạn bài chí phèo,info,P0,văn 11
soan_van,soạn bài tuyên ngôn độc lập,info,P0,văn 12
